City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
382,San Carlos De Bariloche,AR,-41.1456,-71.3082,71.35,26,20,8.05,few clouds
383,Coihaique,CL,-45.5752,-72.0662,68.61,52,20,4.61,few clouds
384,Santa Fe,AR,-31.6333,-60.7,78.98,49,5,8.01,light rain
385,Karratha,AU,-20.7377,116.8463,86.94,55,7,8.75,clear sky
386,Donegal,IE,54.65,-8.1167,44.65,79,100,10.78,moderate rain
387,Kambove,CD,-10.8764,26.5969,63.32,97,100,2.77,light rain
388,Norman Wells,CA,65.282,-126.8329,-5.76,65,75,20.71,broken clouds
389,Mujiayingzi,CN,42.1167,118.7833,37.8,54,95,4.56,overcast clouds
390,Mackenzie,CA,55.2999,-123.1698,34.02,75,75,12.66,broken clouds
391,Samana,DO,19.2056,-69.3369,84.42,74,75,16.11,broken clouds
392,Miandrivazo,MG,-19.5167,45.4667,78.71,84,99,3.0,light rain
393,Tshane,BW,-24.0196,21.8684,79.09,35,10,8.32,clear sky
394,Darab,IR,28.7519,54.5444,68.07,30,23,3.58,few clouds
395,Ryotsu,JP,38.0833,138.4333,45.68,63,100,4.03,overcast clouds
396,Otradnoye,RU,59.7775,30.8181,33.96,96,98,3.47,overcast clouds
397,Abu Samrah,SY,35.3029,37.1841,38.68,89,88,7.49,overcast clouds
398,Calama,CL,-22.4667,-68.9333,73.0,27,1,19.22,clear sky
399,Banswada,IN,18.3833,77.8833,81.25,29,20,7.16,few clouds
400,Hauterive,FR,46.0901,3.4459,48.96,89,100,6.11,light rain
401,Guerrero Negro,MX,27.9769,-114.0611,70.39,20,48,4.61,scattered clouds
402,Isangel,VU,-19.55,169.2667,78.42,84,16,1.41,few clouds
403,Awjilah,LY,29.1081,21.2869,59.25,39,1,5.21,clear sky
404,Salalah,OM,17.0151,54.0924,75.45,55,30,2.39,scattered clouds
405,Bowen,AU,-20.0167,148.2333,80.69,74,76,21.74,broken clouds
406,Chateauroux,FR,46.8167,1.7,48.2,87,100,11.5,light rain
407,Zavitinsk,RU,50.1167,129.45,10.81,96,100,4.03,overcast clouds
408,Roma,US,43.2128,-75.4557,24.96,81,100,17.0,overcast clouds
409,Price,US,39.5994,-110.8107,40.26,35,0,4.61,clear sky
410,Kropotkin,RU,45.4375,40.5756,29.43,70,33,4.52,scattered clouds
411,Kholm,RU,59.2667,32.85,33.66,85,99,2.86,overcast clouds
412,Lethem,GY,3.3803,-59.7968,94.66,38,90,9.13,overcast clouds
413,Farah,AF,32.5,62.5,74.77,29,38,4.07,scattered clouds
414,Praya,CV,14.9215,-23.5087,81.14,44,5,19.57,clear sky
415,San Patricio,US,28.017,-97.5169,53.69,28,11,10.76,few clouds
416,Turukhansk,RU,65.8167,87.9833,-19.53,98,42,7.07,scattered clouds
417,Rocha,UY,-34.4833,-54.3333,71.67,44,2,10.71,clear sky
