City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
331,Galle,LK,77.81,broken clouds,6.0367,80.217,Amangalla
333,Kano,NG,84.09,dust,12.0001,8.5167,Royal Tropicana Hotel
334,Pisco,PE,77.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
336,Kavaratti,IN,82.71,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
337,Batticaloa,LK,79.79,broken clouds,7.7102,81.6924,Grand Star Guest House
339,Tiarei,PF,82.42,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
346,Morant Bay,JM,89.71,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
354,Matara,LK,77.36,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
361,Auki,SB,75.36,overcast clouds,-8.7676,160.7034,Auki Motel
363,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
364,Manokwari,ID,78.66,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
365,Loandjili,CG,80.71,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
371,Kruisfontein,ZA,80.89,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
372,Bacolod,PH,78.44,overcast clouds,10.6667,122.95,Planta Hotel & Residences
376,Pedernales,DO,85.62,clear sky,18.0384,-71.744,Hotel Costa Marina
384,Santa Fe,AR,78.98,light rain,-31.6333,-60.7,Conquistador Hotel
385,Karratha,AU,86.94,clear sky,-20.7377,116.8463,ibis Styles Karratha
391,Samana,DO,84.42,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
392,Miandrivazo,MG,78.71,light rain,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
399,Banswada,IN,81.25,few clouds,18.3833,77.8833,KBR
402,Isangel,VU,78.42,few clouds,-19.55,169.2667,Tanna Lodge
404,Salalah,OM,75.45,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
405,Bowen,AU,80.69,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
