City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Vao,NC,2022-03-11 22:33:57,-22.6667,167.4833,79.5,71,52,10.0
121,Robore,BO,2022-03-11 22:33:57,-18.3333,-59.75,75.29,83,100,11.5
122,Iquique,CL,2022-03-11 22:30:25,-20.2208,-70.1431,71.64,84,44,2.8
123,Baleshwar,IN,2022-03-11 22:33:57,21.4942,86.9317,72.68,31,79,5.61
124,Ereymentau,KZ,2022-03-11 22:33:58,51.6199,73.1033,6.13,97,100,16.87
125,Tandalti,SD,2022-03-11 22:33:58,13.0167,31.8667,75.58,18,23,18.7
126,Yellowknife,CA,2022-03-11 22:21:41,62.456,-114.3525,3.42,74,100,8.01
127,Pierre,US,2022-03-11 22:33:59,44.3683,-100.351,18.86,35,0,17.27
128,East London,ZA,2022-03-11 22:31:00,-33.0153,27.9116,74.14,87,15,17.56
129,Santa Catalina,PH,2022-03-11 22:33:59,9.3337,122.8637,80.1,81,96,3.02
130,Nikolskoye,RU,2022-03-11 22:24:08,59.7035,30.7861,32.88,97,100,4.38
131,Hithadhoo,MV,2022-03-11 22:31:04,-0.6,73.0833,82.13,61,16,4.52
132,Bukachacha,RU,2022-03-11 22:33:59,52.9833,116.9167,8.46,85,100,4.18
133,Arraial Do Cabo,BR,2022-03-11 22:28:33,-22.9661,-42.0278,80.46,69,0,17.27
134,Kajaani,FI,2022-03-11 22:34:00,64.2273,27.7285,21.25,100,100,2.3
135,Sortavala,RU,2022-03-11 22:34:00,61.7053,30.6918,27.28,97,95,4.27
136,San Cristobal,VE,2022-03-11 22:34:00,7.7669,-72.225,73.58,95,92,2.86
137,Manta,EC,2022-03-11 22:32:36,-0.95,-80.7333,82.18,74,20,4.61
138,Cortez,US,2022-03-11 22:34:31,37.3489,-108.5859,40.03,29,0,13.8
139,Emerald,AU,2022-03-11 22:34:31,-23.5333,148.1667,78.94,69,50,11.5
140,Alta Floresta,BR,2022-03-11 22:34:31,-9.8756,-56.0861,73.89,94,79,1.92
141,De Aar,ZA,2022-03-11 22:34:31,-30.6497,24.0123,77.72,41,92,13.87
142,Port Elizabeth,ZA,2022-03-11 22:34:32,-33.918,25.5701,71.89,83,0,13.8
143,Aklavik,CA,2022-03-11 22:27:47,68.2191,-135.0107,-4.18,92,100,2.33
144,Eureka,US,2022-03-11 22:34:32,40.8021,-124.1637,66.13,68,13,3.0
145,Thompson,CA,2022-03-11 22:30:21,55.7435,-97.8558,3.36,47,20,12.66
146,Irbil,IQ,2022-03-11 22:34:32,36.1926,44.0106,44.15,77,74,3.18
147,Mtwara,TZ,2022-03-11 22:34:33,-10.2667,40.1833,81.73,89,75,12.66
148,Longyearbyen,SJ,2022-03-11 22:31:08,78.2186,15.6401,12.04,79,0,2.3
149,Kyra,RU,2022-03-11 22:34:33,49.5776,111.9753,16.92,65,99,14.34
150,Hami,CN,2022-03-11 22:34:34,42.8,93.45,48.96,36,83,5.44
151,Lorengau,PG,2022-03-11 22:34:34,-2.0226,147.2712,83.57,72,95,4.52
152,Puerto Ayora,EC,2022-03-11 22:31:44,-0.7393,-90.3518,84.16,89,89,1.01
153,San Patricio,US,2022-03-11 22:25:18,28.017,-97.5169,57.07,71,100,21.43
154,Talnakh,RU,2022-03-11 22:34:34,69.4865,88.3972,-24.81,98,82,8.66
155,Cidreira,BR,2022-03-11 22:34:35,-30.1811,-50.2056,69.84,78,100,13.69
156,Muisne,EC,2022-03-11 22:34:35,0.6,-80.0333,79.56,78,67,3.83
157,Carnarvon,AU,2022-03-11 22:26:38,-24.8667,113.6333,73.47,94,40,0.0
158,Woodstock,CA,2022-03-11 22:30:00,43.1334,-80.7497,30.42,94,100,8.99
159,Chandler,US,2022-03-11 22:33:20,33.3062,-111.8412,71.46,10,0,8.05
160,Anadyr,RU,2022-03-11 22:31:02,64.75,177.4833,4.12,73,0,2.37
161,Kampot,KH,2022-03-11 22:34:36,10.6167,104.1833,75.25,84,58,4.76
162,Sao Felix Do Xingu,BR,2022-03-11 22:34:36,-6.6447,-51.995,71.13,98,100,2.33
163,Poum,NC,2022-03-11 22:34:36,-20.2333,164.0167,81.7,74,1,1.97
164,Egvekinot,RU,2022-03-11 22:34:36,66.3167,-179.1667,19.53,62,0,8.21
165,Phetchabun,TH,2022-03-11 22:34:37,16.25,101.0833,81.48,52,13,1.92
166,Lovozero,RU,2022-03-11 22:34:37,68.005,35.0117,24.21,94,48,10.54
167,Plouzane,FR,2022-03-11 22:34:37,48.3833,-4.6167,46.45,87,0,13.8
168,Nanortalik,GL,2022-03-11 22:34:38,60.1432,-45.2371,13.6,75,85,29.68
169,Salalah,OM,2022-03-11 22:34:38,17.0151,54.0924,73.49,33,0,0.0
170,Clyde River,CA,2022-03-11 22:34:38,70.4692,-68.5914,-21.77,69,0,0.0
171,San Pedro,PH,2022-03-11 22:34:38,14.35,121.0167,79.83,85,20,2.3
172,San Carlos De Bariloche,AR,2022-03-11 22:34:39,-41.1456,-71.3082,73.15,23,0,6.91
173,Sur,OM,2022-03-11 22:34:39,22.5667,59.5289,78.06,49,57,7.29
174,Pilar,BR,2022-03-11 22:34:39,-9.5972,-35.9567,76.93,79,99,3.91
175,Airai,TL,2022-03-11 22:25:26,-8.9266,125.4092,60.24,94,81,1.86
176,Lakselv,NO,2022-03-11 22:34:40,70.0513,24.9718,33.62,93,75,0.0
177,Camacupa,AO,2022-03-11 22:34:40,-12.0167,17.4833,62.91,94,100,2.89
178,Chapais,CA,2022-03-11 22:34:40,49.7834,-74.8492,20.98,90,99,3.98
179,Mindelo,CV,2022-03-11 22:26:32,16.8901,-24.9804,69.35,73,40,20.71
180,Mar Del Plata,AR,2022-03-11 22:28:01,-38.0023,-57.5575,63.09,71,40,11.99
181,Erzin,TR,2022-03-11 22:34:41,36.9559,36.2,34.84,69,36,4.99
182,Gorontalo,ID,2022-03-11 22:34:41,0.5412,123.0595,79.05,88,81,1.45
183,Los Llanos De Aridane,ES,2022-03-11 22:31:06,28.6585,-17.9182,61.12,93,0,4.61
184,Winnemucca,US,2022-03-11 22:35:11,40.973,-117.7357,50.05,27,0,3.44
185,Kieta,PG,2022-03-11 22:26:41,-6.2167,155.6333,82.06,65,10,2.95
186,Stepnyak,KZ,2022-03-11 22:35:12,52.8339,70.7803,1.76,97,100,13.02
187,Rumonge,BI,2022-03-11 22:35:12,-3.9736,29.4386,72.09,75,94,4.65
188,Kotelnich,RU,2022-03-11 22:35:12,58.3089,48.348,6.24,95,100,5.37
189,Jaru,BR,2022-03-11 22:30:13,-10.4389,-62.4664,75.81,94,74,2.68
190,Banda Aceh,ID,2022-03-11 22:35:13,5.5577,95.3222,78.01,83,88,6.13
191,Bambous Virieux,MU,2022-03-11 22:26:35,-20.3428,57.7575,79.05,89,40,3.44
192,Dehra Dun,IN,2022-03-11 22:35:13,30.3167,78.0333,61.18,38,0,5.5
193,Chokurdakh,RU,2022-03-11 22:35:13,70.6333,147.9167,-11.06,96,100,7.38
194,Puerto Baquerizo Moreno,EC,2022-03-11 22:32:49,-0.9,-89.6,80.42,73,84,3.85
195,Prince Rupert,CA,2022-03-11 22:35:14,54.3161,-130.3201,44.69,81,100,6.91
196,Merauke,ID,2022-03-11 22:35:14,-8.4667,140.3333,78.26,87,100,4.72
197,Yabrud,SY,2022-03-11 22:35:14,33.9674,36.6574,28.51,70,41,9.84
198,Nome,US,2022-03-11 22:25:25,64.5011,-165.4064,26.67,46,0,10.36
199,Kota Tinggi,MY,2022-03-11 22:35:15,1.7381,103.8999,78.84,94,58,3.49
200,Burns Lake,CA,2022-03-11 22:35:15,54.2331,-125.7533,44.02,69,69,10.38
201,Namibe,AO,2022-03-11 22:35:15,-15.1961,12.1522,72.77,81,89,8.41
202,Sahuaripa,MX,2022-03-11 22:35:15,29.05,-109.2333,71.67,14,0,4.85
203,Manicore,BR,2022-03-11 22:35:16,-5.8092,-61.3003,75.63,94,68,1.1
204,Bandarbeyla,SO,2022-03-11 22:35:16,9.4942,50.8122,76.03,73,90,9.6
205,Kavieng,PG,2022-03-11 22:27:42,-2.5744,150.7967,82.83,73,100,7.61
206,Mount Gambier,AU,2022-03-11 22:28:54,-37.8333,140.7667,49.91,93,0,5.75
207,Baker City,US,2022-03-11 22:35:16,44.7749,-117.8344,44.31,47,100,4.61
208,Mantua,IT,2022-03-11 22:35:17,45.1667,10.7833,43.84,73,85,3.0
209,Hasaki,JP,2022-03-11 22:35:17,35.7333,140.8333,46.29,65,0,10.87
210,Menongue,AO,2022-03-11 22:35:17,-14.6585,17.691,64.76,98,100,2.75
211,Trincomalee,LK,2022-03-11 22:35:18,8.5711,81.2335,79.74,81,75,6.06
212,Oistins,BB,2022-03-11 22:35:18,13.0667,-59.5333,78.89,69,20,17.27
213,Wellington,NZ,2022-03-11 22:35:18,-41.2866,174.7756,66.06,89,75,19.57
214,Saint-Michel-Des-Saints,CA,2022-03-11 22:35:18,46.6834,-73.9159,29.93,98,100,1.88
215,Barcelos,PT,2022-03-11 22:27:46,41.5388,-8.6151,49.84,78,12,1.79
216,Half Moon Bay,US,2022-03-11 22:35:19,37.4636,-122.4286,75.45,45,0,0.0
217,Te Anau,NZ,2022-03-11 22:35:19,-45.4167,167.7167,61.5,57,96,4.0
218,Batticaloa,LK,2022-03-11 22:35:19,7.7102,81.6924,77.41,84,87,4.79
219,Clarence Town,AU,2022-03-11 22:35:20,-32.5833,151.7833,69.82,71,17,1.95
220,Namwala,ZM,2022-03-11 22:35:20,-15.7504,26.4384,63.66,96,58,4.12
221,Narsaq,GL,2022-03-11 22:27:44,60.9167,-46.05,7.02,85,99,2.73
222,Shimoda,JP,2022-03-11 22:35:20,34.6667,138.95,56.1,54,0,11.41
223,Nahan,IN,2022-03-11 22:35:21,30.55,77.3,61.07,39,0,3.71
224,Malayal,PH,2022-03-11 22:35:21,7.208,121.942,76.8,82,79,1.43
225,Mpika,ZM,2022-03-11 22:35:22,-11.8343,31.4529,61.48,99,100,6.15
226,Amurzet,RU,2022-03-11 22:35:22,47.6967,131.0981,16.05,91,13,5.28
227,Kailua,US,2022-03-11 22:31:47,21.4022,-157.7394,85.98,68,75,10.36
228,Lompoc,US,2022-03-11 22:22:22,34.6391,-120.4579,75.69,24,0,16.11
229,San Felipe,VE,2022-03-11 22:35:52,10.3399,-68.7425,72.55,94,69,5.82
230,Kayes,ML,2022-03-11 22:35:53,14.0,-11.0,88.77,10,20,12.68
231,Provideniya,RU,2022-03-11 22:27:52,64.3833,-173.3,24.58,53,0,10.45
232,Vardo,NO,2022-03-11 22:35:53,70.3705,31.1107,32.65,76,83,14.72
233,Korla,CN,2022-03-11 22:35:53,41.7597,86.1469,46.63,34,61,3.98
234,Gat,IL,2022-03-11 22:35:54,31.61,34.7642,49.82,100,100,11.95
235,Alofi,NU,2022-03-11 22:35:54,-19.0595,-169.9187,75.09,94,98,6.91
236,Wanning,CN,2022-03-11 22:35:55,18.8003,110.3967,71.4,82,74,5.97
237,Camacha,PT,2022-03-11 22:35:55,33.0833,-16.3333,56.62,72,0,5.75
238,Rodrigues Alves,BR,2022-03-11 22:35:55,-7.738,-72.6509,84.4,89,31,2.93
239,Zelenoborskiy,RU,2022-03-11 22:35:56,66.845,32.3622,16.95,96,96,4.7
240,Kalianget,ID,2022-03-11 22:35:56,-7.05,113.9333,79.66,84,99,6.44
241,Tiznit,MA,2022-03-11 22:35:56,29.5833,-9.5,54.18,74,92,2.57
242,Vanersborg,SE,2022-03-11 22:35:57,58.3807,12.3234,33.58,93,1,2.3
243,Yidu,CN,2022-03-11 22:35:57,24.1614,115.1328,64.87,78,17,1.97
244,Fairbanks,US,2022-03-11 22:26:34,64.8378,-147.7164,21.92,36,0,10.36
245,Hobyo,SO,2022-03-11 22:35:57,5.3505,48.5268,77.25,69,92,12.91
246,Kalmunai,LK,2022-03-11 22:35:57,7.4167,81.8167,76.15,88,80,6.64
247,Vestmannaeyjar,IS,2022-03-11 22:35:58,63.4427,-20.2734,42.08,63,100,13.8
248,Olafsvik,IS,2022-03-11 22:35:58,64.8945,-23.7142,39.61,76,62,20.74
249,Padang,ID,2022-03-11 22:30:59,-0.9492,100.3543,77.27,84,94,3.8
250,Marawi,PH,2022-03-11 22:27:44,7.9986,124.2928,68.47,95,97,1.63
251,Beeville,US,2022-03-11 22:35:58,28.4008,-97.7483,48.38,49,100,17.27
252,Vytegra,RU,2022-03-11 22:35:59,61.0064,36.4481,31.24,99,100,4.56
253,Kaeo,NZ,2022-03-11 22:35:59,-35.1,173.7833,77.32,68,17,4.05
254,Ketchikan,US,2022-03-11 22:32:48,55.3422,-131.6461,46.87,61,75,5.23
255,Lebu,CL,2022-03-11 22:22:15,-37.6167,-73.65,61.9,80,0,17.94
256,Margate,GB,2022-03-11 22:33:48,51.3813,1.3862,49.87,80,89,8.99
257,Itoman,JP,2022-03-11 22:36:00,26.1247,127.6694,65.17,80,20,4.61
258,Poya,NC,2022-03-11 22:36:00,-21.35,165.15,86.13,63,6,3.36
259,Inhambane,MZ,2022-03-11 22:36:00,-23.865,35.3833,75.25,89,9,10.0
260,Cafelandia,BR,2022-03-11 22:36:01,-21.8025,-49.61,73.11,84,71,2.8
261,Nefteyugansk,RU,2022-03-11 22:36:01,61.0998,72.6035,-11.02,100,100,7.92
262,Swan Hill,AU,2022-03-11 22:36:01,-35.3378,143.5544,67.33,46,49,9.62
263,Maceio,BR,2022-03-11 22:23:50,-9.6658,-35.7353,78.24,83,20,4.61
264,Huinan,CN,2022-03-11 22:36:02,42.6225,126.2614,34.29,42,99,4.18
265,Kandrian,PG,2022-03-11 22:36:02,-6.2167,149.55,83.26,72,6,4.38
266,Neiafu,TO,2022-03-11 22:36:02,-18.65,-173.9833,84.88,79,75,8.05
267,Chuy,UY,2022-03-11 22:31:10,-33.6971,-53.4616,63.34,66,57,10.2
268,Batabano,CU,2022-03-11 22:36:03,22.7164,-82.2881,88.41,73,0,11.34
269,Hovd,MN,2022-03-11 22:36:03,48.0056,91.6419,16.93,75,100,2.48
270,North Platte,US,2022-03-11 22:36:03,41.1239,-100.7654,30.25,52,100,8.99
271,Mersing,MY,2022-03-11 22:36:04,2.4312,103.8405,78.71,78,37,5.75
272,Vila Franca Do Campo,PT,2022-03-11 22:36:04,37.7167,-25.4333,63.19,95,100,18.95
273,Alice Springs,AU,2022-03-11 22:33:08,-23.7,133.8833,60.35,59,0,5.75
274,Pascagoula,US,2022-03-11 22:36:04,30.3658,-88.5561,75.2,84,100,0.0
275,Flinders,AU,2022-03-11 22:36:35,-34.5833,150.8552,66.18,92,96,5.99
276,Buala,SB,2022-03-11 22:36:35,-8.145,159.5921,84.02,72,83,4.88
277,Wawa,NG,2022-03-11 22:36:35,9.9022,4.4192,91.13,22,65,0.2
278,Port Lincoln,AU,2022-03-11 22:36:13,-34.7333,135.8667,67.82,68,0,14.45
279,Osoyoos,CA,2022-03-11 22:36:36,49.0331,-119.4524,45.03,46,98,5.75
280,Tooele,US,2022-03-11 22:36:36,40.5308,-112.2983,38.32,42,100,3.44
281,Mitsamiouli,KM,2022-03-11 22:36:36,-11.3847,43.2844,82.2,74,100,9.04
282,Honningsvag,NO,2022-03-11 22:36:36,70.9821,25.9704,35.76,73,87,8.97
283,Punta Umbria,ES,2022-03-11 22:36:37,37.1821,-6.9661,54.23,69,13,12.19
284,Trairi,BR,2022-03-11 22:27:58,-3.2778,-39.2689,75.51,90,100,5.57
285,Borbon,PH,2022-03-11 22:36:37,10.838,124.0297,79.47,87,100,3.67
286,Guerrero Negro,MX,2022-03-11 22:36:37,27.9769,-114.0611,72.82,20,3,20.98
287,Williamsport,US,2022-03-11 22:36:38,41.2412,-77.0011,55.13,50,0,11.5
288,La Ronge,CA,2022-03-11 22:36:38,55.1001,-105.2842,10.65,28,75,4.61
289,Wanaka,NZ,2022-03-11 22:36:38,-44.7,169.15,66.11,52,66,1.01
290,Rio Gallegos,AR,2022-03-11 22:36:38,-51.6226,-69.2181,53.65,54,75,13.8
291,Teknaf,BD,2022-03-11 22:36:39,20.8624,92.3058,70.11,49,100,7.67
292,Halifax,CA,2022-03-11 22:35:19,44.6453,-63.5724,37.4,84,100,6.91
293,Lavras,BR,2022-03-11 22:36:39,-21.2453,-44.9997,70.86,73,29,1.43
294,Moose Factory,CA,2022-03-11 22:36:39,51.2585,-80.6094,24.8,46,100,14.97
